iso3,year,var,value
AUT,2021,gdp_pc_ppp_current,62968.9422311892
AUT,2021,gini,30.7
AUT,2021,inflation_cpi_annual_pct,2.7666666666667
AUT,2021,ppp_conv_gdp_lcu_per_intl$,0.72035
AUT,2021,unemployment_total_pct,6.459
AUT,2022,gdp_pc_ppp_const2021,65661.4521877573
AUT,2022,gdp_pc_ppp_current,70734.9425647902
AUT,2022,gini,30.9
AUT,2022,inflation_cpi_annual_pct,8.54686993188449
AUT,2022,ppp_conv_gdp_lcu_per_intl$,0.700477
AUT,2022,unemployment_total_pct,4.992
AUT,2023,gdp_pc_ppp_const2021,64394.0905152572
AUT,2023,gdp_pc_ppp_current,70478.7873635411
AUT,2023,gini,31.2
AUT,2023,inflation_cpi_annual_pct,7.81413417002833
AUT,2023,ppp_conv_gdp_lcu_per_intl$,0.735286
AUT,2023,unemployment_total_pct,5.264
AUT,2024,gdp_pc_ppp_const2021,63314.4627876454
AUT,2024,gdp_pc_ppp_current,71617.9017496321
AUT,2024,inflation_cpi_annual_pct,2.93791574279385
AUT,2024,ppp_conv_gdp_lcu_per_intl$,0.733163
AUT,2024,unemployment_total_pct,5.439
AZE,2019,gdp_pc_ppp_const2021,20101.4919048601
AZE,2019,gdp_pc_ppp_current,16675.3179361558
AZE,2019,inflation_cpi_annual_pct,2.61057182799215
AZE,2019,ppp_conv_gdp_lcu_per_intl$,0.48993256688118
AZE,2019,unemployment_total_pct,5.0
AZE,2020,gdp_pc_ppp_const2021,19126.096851651
AZE,2020,gdp_pc_ppp_current,15163.5703327282
AZE,2020,inflation_cpi_annual_pct,2.75980947008127
AZE,2020,ppp_conv_gdp_lcu_per_intl$,0.474218666553497
AZE,2020,unemployment_total_pct,7.24
AZE,2021,gdp_pc_ppp_const2021,20111.3756952109
AZE,2021,gdp_pc_ppp_current,20111.3756952109
AZE,2021,inflation_cpi_annual_pct,6.65029912708779
AZE,2021,ppp_conv_gdp_lcu_per_intl$,0.457138150930405
AZE,2021,unemployment_total_pct,6.04
AZE,2022,gdp_pc_ppp_const2021,21051.2442384287
AZE,2022,gdp_pc_ppp_current,22552.0886659805
AZE,2022,inflation_cpi_annual_pct,13.8522590144267
AZE,2022,ppp_conv_gdp_lcu_per_intl$,0.58575550918367
AZE,2022,unemployment_total_pct,5.65
AZE,2023,gdp_pc_ppp_const2021,21310.7386643822
AZE,2023,gdp_pc_ppp_current,23651.5994551766
AZE,2023,inflation_cpi_annual_pct,8.78543049849081
AZE,2023,ppp_conv_gdp_lcu_per_intl$,0.512698867144377
AZE,2023,unemployment_total_pct,5.636
AZE,2024,gdp_pc_ppp_const2021,22072.1058327346
AZE,2024,gdp_pc_ppp_current,25088.9501767555
AZE,2024,inflation_cpi_annual_pct,2.21217188919901
AZE,2024,ppp_conv_gdp_lcu_per_intl$,0.493544786967812
AZE,2024,unemployment_total_pct,5.594
BDI,2019,gdp_pc_ppp_const2021,855.732720083122
BDI,2019,gdp_pc_ppp_current,779.197990653363
BDI,2019,inflation_cpi_annual_pct,-0.686772170797372
BDI,2019,ppp_conv_gdp_lcu_per_intl$,582.1962890625
BDI,2019,unemployment_total_pct,1.043
BDI,2020,gdp_pc_ppp_const2021,833.920257458019
BDI,2020,gdp_pc_ppp_current,786.515830674648
BDI,2020,gini,37.5
BDI,2020,inflation_cpi_annual_pct,7.32110643415518
BDI,2020,ppp_conv_gdp_lcu_per_intl$,595.613830566406
BDI,2020,unemployment_total_pct,1.03
BDI,2021,gdp_pc_ppp_const2021,836.665571337829
